rcept_no,reprt_code,bsns_year,corp_code,stock_code,thstrm_amount_연결재무제표_재무상태표_유동자산_2022.12.31 현재,thstrm_amount_연결재무제표_재무상태표_비유동자산_2022.12.31 현재,thstrm_amount_연결재무제표_재무상태표_자산총계_2022.12.31 현재,thstrm_amount_연결재무제표_재무상태표_유동부채_2022.12.31 현재,thstrm_amount_연결재무제표_재무상태표_비유동부채_2022.12.31 현재,thstrm_amount_연결재무제표_재무상태표_부채총계_2022.12.31 현재,thstrm_amount_연결재무제표_재무상태표_자본금_2022.12.31 현재,thstrm_amount_연결재무제표_재무상태표_이익잉여금_2022.12.31 현재,thstrm_amount_연결재무제표_재무상태표_자본총계_2022.12.31 현재,thstrm_amount_연결재무제표_손익계산서_매출액_2022.01.01 ~ 2022.12.31,thstrm_amount_연결재무제표_손익계산서_영업이익_2022.01.01 ~ 2022.12.31,thstrm_amount_연결재무제표_손익계산서_법인세차감전 순이익_2022.01.01 ~ 2022.12.31,thstrm_amount_연결재무제표_손익계산서_당기순이익_2022.01.01 ~ 2022.12.31
20230322000796,11011,2022,137289,41520,"164,326,975,740","68,544,411,986","232,871,387,726","29,437,742,110","4,734,897,037","34,172,639,147","6,094,365,000","163,761,502,371","198,698,748,579","137,571,424,568","-9,503,011,032","-3,074,155,001","-5,784,252,997"
20230331002992,11011,2022,1353024,317240,"13,069,962,461","55,246,663,865","68,316,626,326","49,464,241,084","1,418,186,402","50,882,427,486","9,444,762,500","-11,155,492,422","17,434,198,840","62,925,391,613","-5,813,535,569","-10,723,111,772","-10,183,566,653"
20230323000994,11011,2022,396925,58970,"18,016,768,844","55,654,660,905","73,671,429,749","11,428,881,975","11,277,942,239","22,706,824,214","5,606,060,000","20,162,295,092","50,964,605,535","58,623,051,381","6,485,396,117","7,923,977,879","6,584,156,830"
20230322000597,11011,2022,1141942,290740,"47,562,831,428","44,451,360,090","92,014,191,518","25,851,242,854","2,533,069,643","28,384,312,497","5,032,505,500","29,153,193,456","63,629,879,021","132,980,435,155","-5,770,031,333","-10,972,785,502","-9,330,275,899"
20230310000533,11011,2022,524421,95610,"188,969,635,836","147,548,520,216","336,518,156,052","27,789,255,768","2,058,694,325","29,847,950,093","9,884,113,000","289,442,772,971","306,670,205,959","357,991,682,573","55,898,658,621","54,269,567,471","46,766,672,131"
20230323000039,11011,2022,556712,238490,"30,748,607,164","48,774,790,833","79,523,397,997","15,836,006,391","1,752,856,613","17,588,863,004","5,656,118,000","42,209,825,349","61,934,534,993",,"-13,275,484,597","-11,310,952,229","-8,645,207,016"
20230322000925,11011,2022,184667,23410,"485,500,705,339","1,544,921,153,411","2,030,421,858,750","698,285,824,430","394,539,786,739","1,092,825,611,169","38,655,431,500","384,411,087,333","937,596,247,581","1,407,717,459,055","54,719,955,238","-7,891,294,088","31,131,586,255"
20230324000840,11011,2022,556615,87260,"48,478,523,100","23,579,616,865","72,058,139,965","25,352,588,702","641,152,741","25,993,741,443","16,276,430,500","934,549,835","46,064,398,522","52,471,269,387","-717,208,120","1,702,690,937","2,110,183,010"
20230317001036,11011,2022,447760,49950,"106,151,092,033","64,796,551,062","170,947,643,095","37,120,505,060","945,572,245","38,066,077,305","4,293,410,000","111,329,076,555","132,881,565,790","154,857,082,271","25,522,241,546","31,607,821,479","29,293,724,901"
20230322000432,11011,2022,1084294,353590,"40,006,506,859","15,563,813,019","55,570,319,878","21,750,000,996","3,736,170,183","25,486,171,179","6,437,785,000","-849,980,788","30,084,148,699","47,843,108,270","-3,811,304,107","-3,631,460,137","-2,411,682,822"
20230316001021,11011,2022,128032,520,"74,781,467,488","281,919,029,151","356,700,496,639","132,592,028,750","98,288,872,351","230,880,901,101","6,857,225,000","26,604,794,826","125,819,595,538","179,676,108,240","4,016,581,828","1,058,097,387","-28,287,010"
20230317000634,11011,2022,1275665,302550,"42,186,845,586","35,938,398,996","78,125,244,582","43,398,427,282","4,724,883,196","48,123,310,478","3,063,808,000","1,819,949,926","30,001,934,104","21,363,454,119","1,661,058,369","4,559,953,562","3,951,245,350"
20230316000288,11011,2022,118284,109860,"77,966,640,435","99,213,113,765","177,179,754,200","19,407,529,458","4,181,603,159","23,589,132,617","4,550,000,000","139,773,144,585","153,590,621,583","111,439,113,384","13,932,278,391","17,829,309,655","14,029,922,792"
20230321001021,11011,2022,442145,83930,"194,164,687,421","84,271,507,035","278,436,194,456","107,276,092,531","2,353,755,144","109,629,847,675","7,998,252,500","121,059,762,288","168,806,346,781","217,264,065,504","13,571,251,704","18,183,301,868","18,105,724,498"
20230313000173,11011,2022,411446,66310,"30,463,195,859","55,525,415,829","85,988,611,688","2,763,369,648","1,960,299,581","4,723,669,229","4,635,810,500","38,983,251,044","81,264,942,459","22,699,451,677","1,845,150,544","8,606,712,243","7,008,373,110"
